Day,V Psalm,V Gospel,M Psalm,M Gospel,Pauline,Catholic,Acts,L Psalm,L Gospel,,,,
9,24 Bashans,"Psalms 105:23,27",Matthew 4:12-17,"Psalms 106:21-22,4",Matthew 12:15-23,Ephesians 2:1-22,1 John 4:7-19,Acts 7:20-34,"Psalms 105:36,38",Matthew 2:13-23,,,,
0,26 Bashans,"Psalms 68:11,35",Mark 3:7-21,Psalms 145:10-12,Luke 6:12-23,Romans 10:4-18,2 Peter 1:12-21,Acts 3:1-16,"Psalms 19:1,4",John 20:24-31,,,,
1,2 Baona,"Psalms 35:10,27",Luke 7:18-28,"Psalms 51:8,19",John 3:25-36,Hebrews 11:1-10,1 Peter 1:25-2:10,Acts 13:25-33,"Psalms 34:20,15",Matthew 11:2-10,,,,
2,16 Baona,"Psalms 112:6-7,9",Matthew 24:42-47,"Psalms 92:10,14-15",Luke 19:11-19,Hebrews 11:32-12:2,James 5:9-20,Acts 18:24-19:6,Psalms 92:12-13,Luke 12:32-44,,,,
3,30 Baona,Psalms 52:8-9,Luke 7:28-35,"Psalms 92:10,14-15",Matthew 11:11-19,Hebrews 11:32-12:2,1 Peter 2:11-17,Acts 7:8-22,Psalms 92:12-13,Luke 1:57-80,,,,
4,3 Apip,"Psalms 110:4,7",Matthew 16:13-19,"Psalms 73:23-24,28;9:14",John 15:17-25,2 Corinthians 4:5-5:11,1 Peter 2:18-3:7,Acts 20:17-38,"Psalms 107:32,41-42",John 10:1-16,,,,
5,5 Apip,"Psalms 68:11,35",Mark 3:7-21,Psalms 145:10-12,Luke 6:12-23,Romans 10:4-18,2 Peter 1:12-21,Acts 3:1-16,"Psalms 19:1,4",Matthew 10:1-15,,,,
6,20 Apip,"Psalms 18:34,39",Matthew 10:16-23,"Psalms 45:3-4,6",Luke 7:11-17,2 Timothy 2:3-15,1 Peter 3:8-15,Acts 27:42-28:6,"Psalms 91:13,11",Luke 10:21-24,,,,
7,3 Mesra,Psalms 40:2-3,Matthew 7:22-25,"Psalms 89:24,19",Luke 13:23-30,1 Corinthians 3:1-8,2 Peter 1:1-11,Acts 15:13-29,Psalms 61:1-3,Luke 14:25-35,,,,
8,13 Mesra,Psalms 99:6-7,Luke 9:28-36,Psalms 104:31-32,Matthew 17:1-9,Colossians 1:1-23,2 Peter 1:12-21,Acts 7:44-8:1,"Psalms 87:1-2,5",Mark 9:2-13,,,,
9,17 Mesra,Psalms 34:19-20,Mark 1:16-22,Psalms 37:39-40,Matthew 4:18-22,Galatians 1:1-19,James 1:1-12,Acts 15:12-21,Psalms 97:11-12,Mark 10:35-45,,,,
0,25 Mesra,Psalms 42:1,Matthew 25:14-23,"Psalms 34:5,7",Luke 19:11-19,Philippians 3:20-4:9,James 5:9-12,Acts 18:24-19:6,"Psalms 104:1-2,4",Luke 12:32-44,,,,
1,26 Mesra,"Psalms 31:23,19",Matthew 10:24-33,"Psalms 145:10-11,19-20",John 12:20-26,Romans 8:14-27,1 Peter 2:11-17,Acts 19:11-20,"Psalms 149:5,9",Luke 21:12-19,,,,
2,28 Mesra,Psalms 47:8-9,John 15:7-16,Psalms 105:3-4,Luke 16:19-31,Hebrews 11:1-10,James 2:14-23,Acts 7:20-34,Psalms 105:8-10,Mark 12:18-27,,,,
3,29 Mesra,"Psalms 132:9-10,17-18",Matthew 15:1-11,"Psalms 110:4-5,7",Matthew 15:12-20,1 Corinthians 10:25-11:1,1 John 4:15-21,Acts 5:34-42,Psalms 68:19,John 8:21-27,,,,
4,30 Mesra,Psalms 5:11-12,Matthew 13:53-58,Psalms 101:8,Matthew 14:1-5,Ephesians 4:8-16,2 Peter 1:19-2:3,Acts 7:30-37,"Psalms 50:23,14",Luke 14:16-24,,,,
5,1 Nasie,Psalms 65:4-5,Matthew 10:34-42,Psalms 37:17-18,John 1:1-17,Romans 10:4-18,1 John 1:1-2:6,Acts 3:1-16,Psalms 37:30-31,John 21:15-25,,,,
6,2 Nasie,Psalms 19:3-4,Luke 4:38-41,"Psalms 110:4-5,7",Luke 5:18-26,2 Corinthians 3:12-4:4,1 John 5:1-11,Acts 14:1-8,Psalms 105:1;68:11,Luke 6:12-23,,,,
7,3 Nasie,Psalms 34:7-8,Matthew 16:24-28,Psalms 97:7-9,Matthew 18:10-20,Hebrews 2:5-18,1 Peter 1:3-12,Acts 10:21-33,Psalms 138:1-3,Matthew 25:31-46,,,,
8,4 Nasie,"Psalms 68:35,3",Matthew 24:42-47,Psalms 97:11-12,Mark 13:33-37,1 Corinthians 3:9-23,1 Peter 5:1-12,Acts 18:24-19:6,Psalms 116:15-16,Luke 16:1-12,,,,
9,6 Nasie,Psalms 119:95-96,Luke 13:10-17,Psalms 119:89-90,Luke 4:23-30,Colossians 3:8-17,James 5:16-20,Acts 11:12-18,Psalms 119:97-98,John 2:1-11,,,,
0,23 Kiahk,Psalm 132:10-11,John 7:40-53,Psalm 89:19-21,Matthew 12:1-8,Hebrews 11:32-40,James 5:7-13,Acts 2:22-36,Psalm 78:70-72,Matthew 22:35-46,,,,
